GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
j2html,j2html,Config,46,119,0,0,14,30,6,11,6,11
j2html,j2html,TagCreator,3523,1091,2,8,426,205,428,202,426,199
j2html,j2html.tags.attributes,IMedia,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IHeaders,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnstorage,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,ILoop,22,0,2,0,5,0,3,0,2,0
j2html,j2html.tags.attributes,IStep,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IList,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IColspan,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IFormaction,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,ISrcset,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,ISrclang,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IDisabled,12,10,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,IOnsubmit,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,ILow,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IStart,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnafterprint,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IScope,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IMax,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,ICols,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IOnloadedmetadata,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IIsmap,22,0,2,0,5,0,3,0,2,0
j2html,j2html.tags.attributes,IMethod,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,INovalidate,22,0,2,0,5,0,3,0,2,0
j2html,j2html.tags.attributes,IOnsearch,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IName,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IOnunload,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IAction,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IDefault,12,10,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,IContent,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IControls,12,10,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,ISizes,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IForm,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IDefer,12,10,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,IOntimeupdate,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnemptied,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IWrap,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOpen,22,0,2,0,5,0,3,0,2,0
j2html,j2html.tags.attributes,IFor,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,ICoords,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IOncanplay,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IPattern,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOntoggle,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IAutofocus,12,10,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,IOnplay,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IPoster,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnseeked,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnreset,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,ISize,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IWidth,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnsuspend,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IRowspan,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnerror,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,ITarget,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IRel,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IOnloadstart,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnload,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnseeking,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnvolumechanged,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IHreflang,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IDownload,12,10,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,IOnresize,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnpagehide,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IData,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IHigh,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IDirname,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IOnwaiting,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IKind,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IUsemap,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IMin,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnended,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnpopstate,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IRows,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IAutoplay,12,10,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,ISelected,22,0,2,0,5,0,3,0,2,0
j2html,j2html.tags.attributes,IPlaceholder,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IOnbeforeunload,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IPreload,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnloadeddata,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnpageshow,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IAsync,12,10,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,IOnonline,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOndurationchange,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,ICharset,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,ILabel,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IShape,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnoffline,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IMultiple,22,0,2,0,5,0,3,0,2,0
j2html,j2html.tags.attributes,IOnratechange,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IEnctype,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,ISrcdoc,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IReversed,22,0,2,0,5,0,3,0,2,0
j2html,j2html.tags.attributes,IOncuechange,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IValue,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnstalled,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,ISandbox,22,0,2,0,5,0,3,0,2,0
j2html,j2html.tags.attributes,IMuted,22,0,2,0,5,0,3,0,2,0
j2html,j2html.tags.attributes,IType,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnpause,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IHref,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IAccept,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,ISpan,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IHeight,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IReadonly,22,0,2,0,5,0,3,0,2,0
j2html,j2html.tags.attributes,IRequired,12,10,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,IOptimum,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,ISrc,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IAutocomplete,13,11,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,IOnplaying,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnhashchange,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnprogress,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,ICite,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IChecked,12,10,2,0,3,2,2,1,1,1
j2html,j2html.tags.attributes,IDatetime,13,7,2,0,3,1,2,1,1,1
j2html,j2html.tags.attributes,IMaxlength,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnabort,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOncanplaythrough,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IOnbeforeprint,20,0,2,0,4,0,3,0,2,0
j2html,j2html.tags.attributes,IAlt,13,7,2,0,3,1,2,1,1,1
j2html,j2html.utils,JSMin.UnterminatedStringLiteralException,6,0,0,0,1,0,1,0,1,0
j2html,j2html.utils,UnterminatedCommentException,3,0,0,0,1,0,1,0,1,0
j2html,j2html.utils,EscapeUtil,5,56,1,9,2,17,2,7,1,1
j2html,j2html.utils,UnterminatedSelectorException,9,0,0,0,4,0,2,0,2,0
j2html,j2html.utils,CSSMin,99,125,15,19,28,33,12,7,0,2
j2html,j2html.utils,IncompleteSelectorException,9,0,0,0,4,0,2,0,2,0
j2html,j2html.utils,IncompletePropertyException,9,0,0,0,4,0,2,0,2,0
j2html,j2html.utils,JSMin.UnterminatedCommentException,6,0,0,0,1,0,1,0,1,0
j2html,j2html.utils,JSMin.UnterminatedRegExpLiteralException,6,0,0,0,1,0,1,0,1,0
j2html,j2html.utils,Part,146,265,31,27,18,55,23,14,0,8
j2html,j2html.utils,JSMin,182,185,48,41,50,48,34,22,1,7
j2html,j2html.utils,Constants,3,1165,0,0,1,4,1,1,1,1
j2html,j2html.utils,Selector,185,253,30,24,22,54,22,10,0,5
j2html,j2html.utils,EmptySelectorBodyException,9,0,0,0,4,0,2,0,2,0
j2html,j2html.utils,Property,108,244,19,21,20,50,16,12,0,8
j2html,j2html.utils,UnbalancedBracesException,3,0,0,0,1,0,1,0,1,0
j2html,j2html.attributes,Attr.ShortForm,2,63,3,13,1,12,3,9,0,4
j2html,j2html.attributes,Attribute,3,87,1,9,1,27,2,10,1,6
j2html,j2html.attributes,Attr,0,95,1,13,0,17,1,9,0,3
j2html,j2html.rendering,IndentedHtml.IndentedTagBuilder,36,57,0,4,8,15,4,5,4,3
j2html,j2html.rendering,FlatHtml.FlatTagBuilder,18,65,0,2,4,17,2,6,2,5
j2html,j2html.rendering,IndentedHtml,42,232,2,16,7,44,5,21,3,14
j2html,j2html.rendering,FlatHtml,9,115,0,0,2,25,1,13,1,13
j2html,j2html.tags,InlineStaticResource.TargetFormat,0,27,0,0,0,1,0,1,0,1
j2html,j2html.tags,Tag,156,213,12,22,23,41,30,26,22,17
j2html,j2html.tags,UnescapedText,5,40,3,3,2,11,3,4,0,4
j2html,j2html.tags,ContainerTag,61,150,10,16,12,31,10,16,4,9
j2html,j2html.tags,EmptyTag,3,60,1,7,1,16,1,6,0,3
j2html,j2html.tags,IInstance,0,2,0,0,0,1,0,1,0,1
j2html,j2html.tags,DomContent,3,3,0,0,1,1,1,1,1,1
j2html,j2html.tags,InlineStaticResource,19,63,4,3,4,11,5,4,1,3
j2html,j2html.tags,Text,3,28,1,1,1,9,1,3,0,3
j2html,j2html.tags,DomContentJoiner,8,71,1,11,2,16,2,6,1,1
j2html,j2html.tags,Renderable,17,32,1,1,4,7,2,4,1,4
j2html,j2html.tags.specialized,BTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,EmTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,H6Tag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,SubTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,WbrTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,FieldsetTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,PreTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,LinkTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,AsideTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,OlTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,SummaryTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,ThTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,OptionTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,HrTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,PictureTag,4,0,0,0,2,0,1,0,1,0
j2html,j2html.tags.specialized,DlTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,TrackTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,FigureTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,StrongTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,VideoTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,CanvasTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,TextareaTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,FormTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,DatalistTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,ArticleTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,H5Tag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,ColTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,ButtonTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,SelectTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,AreaTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,SmallTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,DialogTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,EmbedTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,H2Tag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,HtmlTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,HeadTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,ProgressTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,TbodyTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,TdTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,ITag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,TableTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,VarTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,DivTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,InputTag,0,4,0,0,0,2,0,1,0,1
j2html,j2html.tags.specialized,FigcaptionTag,0,4,0,0,0,2,0,1,0,1
